name,MW,nHBDon,nHBAcc,ALogP,Activity
1a,302.0112642,1,3,3.1473,Active
2a,330.0425644,1,3,3.1075,Active
3a,344.0582144,1,3,2.8195,Active
4a,358.0738645,1,3,2.5315,Active
5a,330.0425644,1,3,3.9432,Active
6a,344.0582144,1,3,2.6263,Active
7a,273.9799641,1,3,2.9293,Active
8a,316.0269143,1,3,3.3471,Inactive
9a,330.0061788,1,4,2.2071,Inactive
10a,359.0327279,2,5,2.3107,Active
11a,387.0640281,2,5,2.2709,Active
12a,343.1105843,0,2,4.3307,Active
13a,347.0691134,1,4,2.5587,Inactive
14a,342.0425644,1,3,3.6652,Active
15a,356.0582144,1,3,2.8062,Active
16a,304.0269143,1,3,2.3866,Active
17a,335.9989853,1,3,2.6276,Inactive
18a,381.9374264,1,3,3.6331,Inactive
19a,367.9888145,1,5,1.6118,Inactive
20a,237.0637225,1,2,2.2345,Active
21a,281.0899372,1,2,1.5419,Active
22a,255.0298355,1,2,2.3967,Active
23a,319.0014278,1,2,2.8871,Active
24a,356.0582144,1,3,2.5302,Inactive
25a,384.0895145,1,3,2.4904,Inactive
26a,364.0269143,1,3,4.5753,Inactive
27a,299.9956142,1,3,2.7518,Active
28a,341.9520351,1,3,3.9074,Active
29a,604.0225284,2,6,4.5458,Inactive
30a,660.0851287,2,6,4.4662,Inactive
31a,302.0112642,1,3,3.1473,Active
1b,152.0473441,1,2,1.2697,Inactive
2b,180.0786442,1,2,2.2421,Inactive
3b,180.0786442,1,2,2.2421,Inactive
4b,180.0786442,1,2,2.2421,Inactive
5b,194.0942943,1,2,2.7283,Inactive
6b,186.0083718,1,2,1.9341,Inactive
8b,200.0240218,1,2,2.4203,Inactive
9b,214.0396719,1,2,2.9065,Inactive
10b,219.9693994,1,2,2.5985,Inactive
11b,219.9693994,1,2,2.5985,Inactive
12b,219.9693994,1,2,2.5985,Active
13b,253.9304271,1,2,3.2629,Inactive
14b,229.9578562,1,2,2.0181,Inactive
15b,243.9735062,1,2,2.5043,Inactive
16b,257.9891563,1,2,2.9905,Inactive
17b,321.8840183,1,2,3.2527,Active
18b,277.9439921,1,2,1.8479,Inactive
19b,192.0786442,1,2,0.7949,Inactive
20b,240.0786442,1,2,2.9327,Inactive
21b,242.0579088,1,2,2.6457,Inactive
22b,222.0892089,1,2,2.2536,Inactive
23b,212.0684735,1,2,1.3643,Inactive
24b,212.0684735,1,2,1.3643,Inactive
25b,242.0790382,1,2,1.3479,Inactive
26b,198.0350652,1,2,1.9389,Inactive
27b,197.0324223,1,2,1.7787,Inactive
28b,167.0582431,2,3,0.5231,Inactive
29b,195.0895433,1,3,1.5593,Inactive
30b,257.9773914,1,2,2.9828,Inactive
31b,201.9855281,1,2,2.4923,Inactive
32b,269.9075834,1,2,3.8211,Inactive
33b,245.9350126,1,2,2.5763,Inactive
34b,192.1150298,0,1,2.7175,Inactive
1c,180.0786442,1,3,1.5763,Inactive
2c,194.0942943,1,3,2.0625,Inactive
3c,194.0942943,1,3,2.0625,Active
4c,194.0942943,1,3,2.0625,Inactive
5c,208.1099444,1,3,2.5487,Inactive
6c,200.0240218,1,3,1.7545,Active
7c,276.055322,1,3,3.3667,Inactive
8c,233.9850495,1,3,2.4189,Active
9c,233.9850495,1,3,2.4189,Active
10c,233.9850495,1,3,2.4189,Active
11c,291.9596421,1,3,1.6683,Inactive
12c,243.9735062,1,3,1.8385,Inactive
13c,272.0048064,1,3,2.7618,Inactive
14c,272.0048064,1,3,2.6344,Inactive
15c,196.0735589,1,3,1.2011,Inactive
16c,258.0892089,1,3,2.7777,Inactive
17c,210.0892089,1,3,1.5599,Inactive
18c,230.0345865,1,3,1.8655,Active
19c,259.9506626,1,2,2.5832,Inactive
20c,197.0510496,2,3,1.0882,Inactive
21c,248.0006995,1,3,2.6671,Active
22c,301.9789856,2,4,1.559,Inactive
23c,334.0608013,1,3,4.4261,Inactive
24c,208.0735589,2,4,1.3679,Inactive
1d,382.9963424,3,6,3.2372,Active
2d,349.0353148,3,6,2.5728,Active
3d,315.0742871,3,6,1.9084,Active
4d,337.1525375,3,6,-1.129,Inactive
5d,392.9847992,3,6,2.6568,Inactive
6d,267.0742871,3,6,0.311,Inactive
7d,361.1080858,2,4,4.0175,Inactive
1e,258.1215717,3,7,-2.4224,Inactive
2e,292.1059216,3,7,-0.537,Inactive
3e,392.1583511,2,8,-0.3178,Inactive
4e,426.142701,2,8,1.5676,Inactive
5e,353.1263227,1,5,1.6816,Inactive
6e,199.1208434,1,4,-0.0399,Inactive
7e,214.0396719,1,2,2.8574,Inactive
7e,233.1051933,1,4,0.1129,Inactive
8e,339.1106726,1,5,1.6561,Inactive
9e,319.1419728,1,5,1.5288,Inactive
10e,333.1576228,1,5,1.5636,Inactive
11e,397.1525375,2,6,0.8829,Inactive
12e,369.1212373,1,5,1.6095,Inactive
1f,248.1412445,1,2,2.0086,Inactive
2f,234.1255944,1,2,2.1692,Inactive
3f,206.0942943,1,2,2.2087,Inactive
4f,234.1255944,1,2,2.4942,Inactive
5f,332.1623739,1,4,2.9377,Inactive
6f,250.1568946,1,2,3.1441,Inactive
7f,165.0789786,2,3,0.5898,Inactive
