"","SubFPC1","SubFPC2","SubFPC3","SubFPC4","SubFPC5","SubFPC16","SubFPC17","SubFPC18","SubFPC20","SubFPC23","SubFPC26","SubFPC28","SubFPC37","SubFPC38","SubFPC49","SubFPC74","SubFPC84","SubFPC85","SubFPC88","SubFPC96","SubFPC100","SubFPC101","SubFPC125","SubFPC135","SubFPC137","SubFPC139","SubFPC171","SubFPC172","SubFPC173","SubFPC174","SubFPC184","SubFPC188","SubFPC274","SubFPC275","SubFPC287","SubFPC295","SubFPC296","SubFPC297","SubFPC298","SubFPC299","SubFPC300","SubFPC301","SubFPC302","SubFPC303","SubFPC307"
"24",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,12,0,2,7,0,0,0,0,7,7,8,0,16
"20",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,12,0,4,9,0,0,0,0,6,6,7,0,16
"13",1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,2,1,2,0,0,0,0,0,6,0,3,5,0,0,0,0,5,5,6,1,9
"25",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,1,2,0,0,0,0,0,0,0,12,1,2,9,0,0,0,0,9,9,7,0,17
"10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,6,1,2,10,0,0,0,0,11,11,6,0,13
"3",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,4,0,0,0,0,3,3,3,0,8
"19",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,4,0,1,0,0,0,0,0,12,0,4,9,0,0,0,0,6,6,7,0,16
"22",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,4,0,0,0,1,0,0,0,12,0,4,9,0,0,0,0,6,6,7,0,16
"11",1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,4,0,0,1,1,1,2,0,0,0,0,0,0,0,6,1,2,14,0,0,0,0,15,15,10,0,14
"8",4,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,1,7,0,0,0,0,13,13,6,1,12
"32",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,1,2,0,0,0,0,0,0,0,12,1,2,11,0,0,0,0,9,9,8,0,17
"6",2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,2,4,0,0,0,0,6,6,1,0,8
"17",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,4,0,0,0,0,3,3,3,0,7
"26",3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,10,10,3,0,5
"31",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,1,2,0,0,0,0,0,0,0,12,1,2,10,0,0,0,0,12,12,9,0,18
"14",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,4,0,0,0,0,5,5,4,0,7
"29",3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,1,2,0,0,0,0,0,0,0,6,1,2,9,0,0,0,0,10,10,6,0,12
"16",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,4,0,0,0,0,5,5,4,0,8
"5",2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,4,0,0,0,0,9,9,3,0,8
"23",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,6,0,2,9,0,0,0,0,8,8,7,0,10
"18",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,4,0,2,0,0,0,0,0,12,0,4,9,0,0,0,0,6,6,7,0,16
"12",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,4,0,0,1,1,1,4,0,0,0,0,0,0,0,12,1,4,14,0,0,0,0,12,12,9,0,20
"7",3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,4,0,0,0,0,9,9,2,0,9
"28",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,1,4,0,0,0,0,0,0,0,12,1,4,9,0,0,0,0,7,7,6,0,17
"30",3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,1,2,0,0,0,0,0,0,0,6,1,2,9,0,0,0,0,12,12,7,0,12
"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,5,5,3,0,8
"11.1",1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,4,0,0,1,1,1,2,0,0,0,0,0,0,0,6,1,2,14,0,0,0,0,15,15,10,0,14
"24.1",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,12,0,2,7,0,0,0,0,7,7,8,0,16
"5.1",2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,4,0,0,0,0,9,9,3,0,8
"20.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,12,0,4,9,0,0,0,0,6,6,7,0,16
"16.1",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,4,0,0,0,0,5,5,4,0,8
"26.1",3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,10,10,3,0,5
"9",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,14,14,7,0,7
"25.1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,1,2,0,0,0,0,0,0,0,12,1,2,9,0,0,0,0,9,9,7,0,17
"4",2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,4,0,0,0,0,10,10,4,0,8
"28.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,1,4,0,0,0,0,0,0,0,12,1,4,9,0,0,0,0,7,7,6,0,17
"1",4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,9,9,6,0,8
