,ACCts
1,80
2,78.26086957
3,86.08695652
4,88.69565217
5,81.73913043
6,84.34782609
7,80
8,84.34782609
9,86.08695652
10,80.86956522
11,85.2173913
12,86.08695652
13,80
14,86.08695652
15,86.95652174
16,86.08695652
17,86.95652174
18,82.60869565
19,84.34782609
20,81.73913043
21,86.95652174
22,88.69565217
23,87.82608696
24,78.26086957
25,88.69565217
26,86.95652174
27,73.04347826
28,88.69565217
29,86.95652174
30,86.08695652
31,84.34782609
32,79.13043478
33,85.2173913
34,86.95652174
35,86.08695652
36,84.34782609
37,83.47826087
38,88.69565217
39,85.2173913
40,84.34782609
41,83.47826087
42,84.34782609
43,87.82608696
44,85.2173913
45,83.47826087
46,83.47826087
47,89.56521739
48,80.86956522
49,82.60869565
50,81.73913043
51,82.60869565
52,89.56521739
53,79.13043478
54,84.34782609
55,85.2173913
56,80.86956522
57,87.82608696
58,83.47826087
59,81.73913043
60,82.60869565
61,83.47826087
62,87.82608696
63,85.2173913
64,82.60869565
65,90.43478261
66,86.08695652
67,85.2173913
68,89.56521739
69,83.47826087
70,87.82608696
71,84.34782609
72,87.82608696
73,86.95652174
74,88.69565217
75,87.82608696
76,80
77,87.82608696
78,89.56521739
79,85.2173913
80,84.34782609
81,84.34782609
82,84.34782609
83,80.86956522
84,84.34782609
85,86.95652174
86,83.47826087
87,84.34782609
88,85.2173913
89,86.08695652
90,86.08695652
91,84.34782609
92,85.2173913
93,84.34782609
94,84.34782609
95,86.08695652
96,82.60869565
97,86.08695652
98,83.47826087
99,86.08695652
100,81.73913043
,
,84.71
,2.99
