,ACCts
1,93.91304348
2,85.2173913
3,87.82608696
4,89.56521739
5,86.95652174
6,84.34782609
7,86.08695652
8,90.43478261
9,92.17391304
10,84.34782609
11,91.30434783
12,87.82608696
13,90.43478261
14,91.30434783
15,87.82608696
16,90.43478261
17,90.43478261
18,90.43478261
19,86.95652174
20,87.82608696
21,87.82608696
22,85.2173913
23,90.43478261
24,93.04347826
25,87.82608696
26,93.04347826
27,89.56521739
28,87.82608696
29,89.56521739
30,93.91304348
31,77.39130435
32,87.82608696
33,81.73913043
34,89.56521739
35,87.82608696
36,88.69565217
37,83.47826087
38,87.82608696
39,80.86956522
40,88.69565217
41,90.43478261
42,86.08695652
43,91.30434783
44,86.08695652
45,86.95652174
46,86.08695652
47,88.69565217
48,87.82608696
49,90.43478261
50,86.95652174
51,88.69565217
52,90.43478261
53,87.82608696
54,86.08695652
55,90.43478261
56,85.2173913
57,83.47826087
58,87.82608696
59,91.30434783
60,87.82608696
61,87.82608696
62,89.56521739
63,86.08695652
64,87.82608696
65,86.95652174
66,88.69565217
67,90.43478261
68,86.08695652
69,84.34782609
70,89.56521739
71,83.47826087
72,77.39130435
73,82.60869565
74,80.86956522
75,86.95652174
76,82.60869565
77,84.34782609
78,89.56521739
79,86.95652174
80,86.08695652
81,80.86956522
82,89.56521739
83,86.95652174
84,93.04347826
85,86.08695652
86,93.04347826
87,86.95652174
88,86.08695652
89,90.43478261
90,86.95652174
91,92.17391304
92,83.47826087
93,87.82608696
94,91.30434783
95,87.82608696
96,86.95652174
97,87.82608696
98,92.17391304
99,89.56521739
100,86.95652174
,
,87.72
,3.26
