,ACCts
1,80
2,85.2173913
3,86.08695652
4,81.73913043
5,84.34782609
6,87.82608696
7,80.86956522
8,87.82608696
9,80.86956522
10,82.60869565
11,84.34782609
12,84.34782609
13,82.60869565
14,85.2173913
15,88.69565217
16,86.95652174
17,79.13043478
18,83.47826087
19,86.95652174
20,80.86956522
21,86.08695652
22,81.73913043
23,83.47826087
24,86.08695652
25,86.08695652
26,85.2173913
27,90.43478261
28,83.47826087
29,84.34782609
30,85.2173913
31,86.08695652
32,92.17391304
33,83.47826087
34,85.2173913
35,84.34782609
36,81.73913043
37,82.60869565
38,86.08695652
39,86.08695652
40,81.73913043
41,82.60869565
42,82.60869565
43,88.69565217
44,83.47826087
45,86.95652174
46,84.34782609
47,81.73913043
48,82.60869565
49,84.34782609
50,85.2173913
51,80
52,89.56521739
53,83.47826087
54,86.08695652
55,83.47826087
56,83.47826087
57,83.47826087
58,86.95652174
59,85.2173913
60,87.82608696
61,86.95652174
62,87.82608696
63,86.08695652
64,80.86956522
65,86.08695652
66,86.08695652
67,80.86956522
68,85.2173913
69,80.86956522
70,86.95652174
71,87.82608696
72,89.56521739
73,85.2173913
74,84.34782609
75,78.26086957
76,94.7826087
77,80.86956522
78,81.73913043
79,82.60869565
80,86.08695652
81,80.86956522
82,84.34782609
83,78.26086957
84,91.30434783
85,86.08695652
86,90.43478261
87,86.95652174
88,81.73913043
89,82.60869565
90,84.34782609
91,84.34782609
92,83.47826087
93,86.08695652
94,85.2173913
95,83.47826087
96,86.95652174
97,85.2173913
98,87.82608696
99,87.82608696
100,88.69565217
,
,84.79
,3.00
