,ACCts
1,83.47826087
2,90.43478261
3,92.17391304
4,92.17391304
5,87.82608696
6,88.69565217
7,86.08695652
8,86.08695652
9,84.34782609
10,87.82608696
11,83.47826087
12,92.17391304
13,88.69565217
14,86.08695652
15,86.08695652
16,87.82608696
17,90.43478261
18,86.95652174
19,88.69565217
20,89.56521739
21,86.95652174
22,89.56521739
23,86.08695652
24,86.95652174
25,86.95652174
26,86.08695652
27,86.08695652
28,88.69565217
29,89.56521739
30,88.69565217
31,90.43478261
32,88.69565217
33,88.69565217
34,82.60869565
35,91.30434783
36,88.69565217
37,89.56521739
38,88.69565217
39,83.47826087
40,90.43478261
41,86.95652174
42,88.69565217
43,86.08695652
44,85.2173913
45,81.73913043
46,89.56521739
47,86.95652174
48,89.56521739
49,86.95652174
50,90.43478261
51,84.34782609
52,91.30434783
53,93.91304348
54,88.69565217
55,86.08695652
56,93.04347826
57,87.82608696
58,86.08695652
59,84.34782609
60,80.86956522
61,91.30434783
62,86.95652174
63,92.17391304
64,87.82608696
65,86.95652174
66,86.95652174
67,90.43478261
68,91.30434783
69,90.43478261
70,84.34782609
71,86.95652174
72,80.86956522
73,80
74,90.43478261
75,86.95652174
76,93.91304348
77,90.43478261
78,86.95652174
79,92.17391304
80,88.69565217
81,92.17391304
82,84.34782609
83,89.56521739
84,93.91304348
85,88.69565217
86,90.43478261
87,85.2173913
88,88.69565217
89,88.69565217
90,91.30434783
91,91.30434783
92,84.34782609
93,90.43478261
94,86.08695652
95,90.43478261
96,89.56521739
97,94.7826087
98,82.60869565
99,84.34782609
100,93.91304348
,
,88.13
,3.12
