,ACCts
1,88.69565217
2,80
3,85.2173913
4,88.69565217
5,85.2173913
6,86.08695652
7,82.60869565
8,80
9,86.95652174
10,87.82608696
11,86.08695652
12,87.82608696
13,84.34782609
14,86.08695652
15,86.08695652
16,90.43478261
17,84.34782609
18,84.34782609
19,84.34782609
20,83.47826087
21,91.30434783
22,84.34782609
23,87.82608696
24,83.47826087
25,91.30434783
26,84.34782609
27,84.34782609
28,76.52173913
29,82.60869565
30,86.95652174
31,82.60869565
32,87.82608696
33,90.43478261
34,87.82608696
35,86.08695652
36,89.56521739
37,86.95652174
38,86.95652174
39,86.95652174
40,85.2173913
41,89.56521739
42,80.86956522
43,79.13043478
44,86.08695652
45,84.34782609
46,84.34782609
47,89.56521739
48,80
49,85.2173913
50,91.30434783
51,84.34782609
52,91.30434783
53,91.30434783
54,86.95652174
55,89.56521739
56,87.82608696
57,92.17391304
58,89.56521739
59,82.60869565
60,79.13043478
61,86.08695652
62,83.47826087
63,85.2173913
64,85.2173913
65,79.13043478
66,86.95652174
67,86.95652174
68,91.30434783
69,80.86956522
70,84.34782609
71,84.34782609
72,86.95652174
73,91.30434783
74,84.34782609
75,90.43478261
76,84.34782609
77,83.47826087
78,81.73913043
79,89.56521739
80,86.08695652
81,82.60869565
82,80.86956522
83,86.95652174
84,84.34782609
85,91.30434783
86,87.82608696
87,85.2173913
88,86.95652174
89,85.2173913
90,83.47826087
91,90.43478261
92,83.47826087
93,83.47826087
94,86.08695652
95,86.95652174
96,85.2173913
97,88.69565217
98,88.69565217
99,86.95652174
100,88.69565217
,85.93
,3.29
