"","ACCts"
"1",87.8260869565217
"2",92.1739130434783
"3",86.9565217391304
"4",87.8260869565217
"5",82.6086956521739
"6",85.2173913043478
"7",90.4347826086957
"8",85.2173913043478
"9",88.695652173913
"10",90.4347826086957
"11",90.4347826086957
"12",86.9565217391304
"13",86.0869565217391
"14",89.5652173913044
"15",86.0869565217391
"16",83.4782608695652
"17",87.8260869565217
"18",86.9565217391304
"19",80.8695652173913
"20",81.7391304347826
"21",84.3478260869565
"22",84.3478260869565
"23",84.3478260869565
"24",84.3478260869565
"25",85.2173913043478
"26",85.2173913043478
"27",89.5652173913044
"28",88.695652173913
"29",86.9565217391304
"30",92.1739130434783
"31",86.0869565217391
"32",86.9565217391304
"33",82.6086956521739
"34",86.9565217391304
"35",83.4782608695652
"36",86.0869565217391
"37",82.6086956521739
"38",93.0434782608696
"39",88.695652173913
"40",83.4782608695652
"41",81.7391304347826
"42",89.5652173913044
"43",91.304347826087
"44",89.5652173913044
"45",92.1739130434783
"46",86.0869565217391
"47",82.6086956521739
"48",86.0869565217391
"49",77.3913043478261
"50",89.5652173913044
"51",88.695652173913
"52",89.5652173913044
"53",86.9565217391304
"54",88.695652173913
"55",91.304347826087
"56",88.695652173913
"57",90.4347826086957
"58",88.695652173913
"59",89.5652173913044
"60",91.304347826087
"61",85.2173913043478
"62",88.695652173913
"63",80.8695652173913
"64",87.8260869565217
"65",85.2173913043478
"66",86.0869565217391
"67",95.6521739130435
"68",89.5652173913044
"69",85.2173913043478
"70",85.2173913043478
"71",87.8260869565217
"72",87.8260869565217
"73",87.8260869565217
"74",82.6086956521739
"75",89.5652173913044
"76",90.4347826086957
"77",88.695652173913
"78",86.0869565217391
"79",85.2173913043478
"80",88.695652173913
"81",92.1739130434783
"82",86.0869565217391
"83",83.4782608695652
"84",86.9565217391304
"85",91.304347826087
"86",85.2173913043478
"87",82.6086956521739
"88",86.0869565217391
"89",89.5652173913044
"90",83.4782608695652
"91",87.8260869565217
"92",77.3913043478261
"93",82.6086956521739
"94",85.2173913043478
"95",85.2173913043478
"96",93.9130434782609
"97",90.4347826086957
"98",89.5652173913044
"99",92.1739130434783
"100",81.7391304347826
